p,m,mean_similarity,std_similarity,min_similarity,max_similarity,n_samples,method
0.2,5,0.9019030570983887,0.05468124733169893,0.7205201387405396,0.9856469631195068,100,EPP
0.2,10,0.8940874272584916,0.057389372392090694,0.644163191318512,0.9866313934326172,100,EPP
0.2,15,0.8760893106460571,0.056454252653261296,0.6493380069732666,0.9642424583435059,100,EPP
0.2,20,0.8758816039562225,0.06454270654563239,0.6206651329994202,0.971226692199707,100,EPP
0.2,25,0.8747930306196213,0.05599104809997279,0.6569754481315613,0.9581691026687622,100,EPP
0.2,30,0.8849315869808198,0.05983753327835664,0.657023549079895,0.984743058681488,100,EPP
0.2,40,0.8666850972175598,0.06249058977208881,0.5942188501358032,0.9664723873138428,100,EPP
0.2,50,0.8693239545822143,0.0653224953733534,0.5864658355712891,0.9701400995254517,100,EPP
0.3,5,0.8752681511640549,0.05298012703957534,0.7112584710121155,0.962415874004364,100,EPP
0.3,10,0.8399740540981293,0.05331399332303981,0.673646092414856,0.9530446529388428,100,EPP
0.3,15,0.8169825845956802,0.07134733542016726,0.6002044081687927,0.9652563333511353,100,EPP
0.3,20,0.8096222394704818,0.07659617379698423,0.52727210521698,0.9514766931533813,100,EPP
0.3,25,0.801966786980629,0.0864506921855804,0.531936526298523,0.9281229376792908,100,EPP
0.3,30,0.7977146458625793,0.08420268775922751,0.5484991073608398,0.9549580812454224,100,EPP
0.3,40,0.7953279936313629,0.08933574613533106,0.4588387608528137,0.9311730861663818,100,EPP
0.3,50,0.8037218689918518,0.07295115392021378,0.5830247402191162,0.936947226524353,100,EPP
0.4,5,0.8300616353750229,0.06507303820536467,0.6458971500396729,0.949920654296875,100,EPP
0.4,10,0.776111381649971,0.08441907626488603,0.3777088522911072,0.9185410737991333,100,EPP
0.4,15,0.759826425909996,0.08153323819222617,0.4622459411621094,0.8772962689399719,100,EPP
0.4,20,0.7449813169240952,0.09340583101754003,0.41579821705818176,0.8803970813751221,100,EPP
0.4,25,0.731693244278431,0.08886457781945345,0.4226650595664978,0.8813579678535461,100,EPP
0.4,30,0.7476179420948028,0.0928756965865043,0.3896482586860657,0.9178980588912964,100,EPP
0.4,40,0.7367979049682617,0.08367386781988044,0.4279250502586365,0.8761261105537415,100,EPP
0.4,50,0.7291032457351685,0.0900706745937282,0.4528762102127075,0.8877848386764526,100,EPP
0.5,5,0.7593265783786773,0.08199392470255464,0.5554162859916687,0.8982052206993103,100,EPP
0.5,10,0.7234270563721656,0.08487778426774556,0.4455200135707855,0.9271489381790161,100,EPP
0.5,15,0.6846718707680702,0.09208286954674196,0.39435112476348877,0.8593547940254211,100,EPP
0.5,20,0.6907791391015052,0.09286102954185887,0.38154783844947815,0.8472219705581665,100,EPP
0.5,25,0.6676321816444397,0.08633877827447022,0.43488210439682007,0.8224968910217285,100,EPP
0.5,30,0.677130863070488,0.09574733284372859,0.33814704418182373,0.8327800631523132,100,EPP
0.5,40,0.6555141806602478,0.09478497443442026,0.3413744866847992,0.862502932548523,100,EPP
0.5,50,0.6526486071944236,0.10520863734121919,0.3948098421096802,0.8762478828430176,100,EPP
0.6,5,0.7217733979225158,0.09082313519494013,0.3647453188896179,0.8947522640228271,100,EPP
0.6,10,0.6704300135374069,0.09032081625754713,0.3902590274810791,0.8362541198730469,100,EPP
0.6,15,0.6188725021481514,0.09689241188693908,0.3705599308013916,0.8040657639503479,100,EPP
0.6,20,0.6301534736156463,0.09253924718900874,0.3982498049736023,0.8463990688323975,100,EPP
0.6,25,0.5981882089376449,0.09956398245798005,0.3264143168926239,0.7982271909713745,100,EPP
0.6,30,0.596942780315876,0.12073384721852781,0.24835601449012756,0.8136139512062073,100,EPP
0.6,40,0.592993614077568,0.09500880581290615,0.34609469771385193,0.7873349189758301,100,EPP
0.6,50,0.5855861562490463,0.10541267629643446,0.323698490858078,0.8553733825683594,100,EPP
0.7,5,0.6805849033594131,0.08435284901399658,0.4233577847480774,0.8694502115249634,100,EPP
0.7,10,0.608741678595543,0.09154086719039707,0.3740848898887634,0.8147908449172974,100,EPP
0.7,15,0.5656296050548554,0.09554534258290201,0.26022544503211975,0.7338677644729614,100,EPP
0.7,20,0.5545832630991936,0.09445769281024737,0.3316130042076111,0.7693774700164795,100,EPP
0.7,25,0.5083235764503479,0.09802429597872317,0.25785136222839355,0.7302075624465942,100,EPP
0.7,30,0.5344828981161117,0.10755944551000202,0.22810623049736023,0.7409464716911316,100,EPP
0.7,40,0.5282654774188995,0.09650824088274719,0.28571221232414246,0.716181218624115,100,EPP
0.7,50,0.508427405655384,0.11654546688932506,0.19609874486923218,0.770108699798584,100,EPP
0.2,1,0.9614071647326151,0.0231401838085021,0.9294391870498657,0.9834523797035217,3,MLM
