Model,Benchmark,Method,Classifier,AUC,Accuracy,F1,Retain_vs_All,Forget_vs_All,Model_Family,AUC_at_0.1_FP,Multi_class
llama-3-8b-instruct-elm-checkpoint-8,WMDP,ELM,LogReg,0.888888888888889,0.6,0.6,0.5,0.5,LLaMA-3-8B,0.7555555555555555,0.7111111111111112
llama-3-8b-instruct-elm-checkpoint-8,WMDP,ELM,Tree,0.888888888888889,0.8,0.7866666666666666,0.5,0.5,LLaMA-3-8B,0.7555555555555555,0.7111111111111112
SimNPO-TOFU-forget05-Llama-2-7b-chat,TOFU,SimNPO,LogReg,0.8611111111111112,0.8,0.8,0.5,0.5,LLaMA-2-7B,0.7319444444444445,0.688888888888889
SimNPO-TOFU-forget05-Llama-2-7b-chat,TOFU,SimNPO,Tree,0.75,0.8,0.8,0.5,0.5,LLaMA-2-7B,0.6375,0.6000000000000001
SimNPO-TOFU-forget10-Llama-2-7b-chat,TOFU,SimNPO,LogReg,0.6666666666666666,0.4,0.36,0.5,0.5,LLaMA-2-7B,0.5666666666666667,0.5333333333333333
SimNPO-TOFU-forget10-Llama-2-7b-chat,TOFU,SimNPO,Tree,0.5555555555555557,0.4,0.36,0.5,0.5,LLaMA-2-7B,0.4722222222222223,0.4444444444444446
SimNPO-MUSE-News-llama-2-7b,MUSE,SimNPO,LogReg,0.9444444444444445,0.6,0.6,0.5,0.5,LLaMA-2-7B,0.8027777777777778,0.7555555555555556
SimNPO-MUSE-News-llama-2-7b,MUSE,SimNPO,Tree,0.8055555555555557,0.6,0.6,0.5,0.5,LLaMA-2-7B,0.6847222222222223,0.6444444444444446
SimNPO-MUSE-Books-llama-2-7b,MUSE,SimNPO,LogReg,0.6666666666666666,0.2,0.16,0.5,0.5,LLaMA-2-7B,0.5666666666666667,0.5333333333333333
SimNPO-MUSE-Books-llama-2-7b,MUSE,SimNPO,Tree,0.22222222222222224,0.0,0.0,0.5,0.5,LLaMA-2-7B,0.18888888888888888,0.1777777777777778
